,MSA,msa name,cluster_number
0,10180,"Abilene, TX (Metropolitan Statistical Area)",0
1,10420,"Akron, OH (Metropolitan Statistical Area)",0
2,10500,"Albany, GA (Metropolitan Statistical Area)",0
3,10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",0
4,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",0
5,10740,"Albuquerque, NM (Metropolitan Statistical Area)",0
6,10780,"Alexandria, LA (Metropolitan Statistical Area)",0
7,10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",0
8,11020,"Altoona, PA (Metropolitan Statistical Area)",0
9,11100,"Amarillo, TX (Metropolitan Statistical Area)",0
10,11180,"Ames, IA (Metropolitan Statistical Area)",0
11,11260,"Anchorage, AK (Metropolitan Statistical Area)",0
12,11460,"Ann Arbor, MI (Metropolitan Statistical Area)",0
13,11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",0
14,11540,"Appleton, WI (Metropolitan Statistical Area)",0
15,11700,"Asheville, NC (Metropolitan Statistical Area)",0
16,12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",0
17,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1
18,12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",0
19,12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",0
20,12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",0
21,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3
22,12540,"Bakersfield, CA (Metropolitan Statistical Area)",0
23,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3
24,12620,"Bangor, ME (Metropolitan Statistical Area)",0
25,12700,"Barnstable Town, MA (Metropolitan Statistical Area)",0
26,12940,"Baton Rouge, LA (Metropolitan Statistical Area)",0
27,12980,"Battle Creek, MI (Metropolitan Statistical Area)",0
28,13020,"Bay City, MI (Metropolitan Statistical Area)",0
29,13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",0
30,13220,"Beckley, WV (Metropolitan Statistical Area)",0
31,13380,"Bellingham, WA (Metropolitan Statistical Area)",0
32,13460,"Bend, OR (Metropolitan Statistical Area)",0
33,13740,"Billings, MT (Metropolitan Statistical Area)",0
34,13780,"Binghamton, NY (Metropolitan Statistical Area)",0
35,13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",0
36,13900,"Bismarck, ND (Metropolitan Statistical Area)",0
37,13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",0
38,14010,"Bloomington, IL (Metropolitan Statistical Area)",0
39,14020,"Bloomington, IN (Metropolitan Statistical Area)",0
40,14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",0
41,14260,"Boise City, ID (Metropolitan Statistical Area)",0
42,14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1
43,14500,"Boulder, CO (Metropolitan Statistical Area)",0
44,14540,"Bowling Green, KY (Metropolitan Statistical Area)",0
45,14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",0
46,14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",3
47,15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",0
48,15260,"Brunswick, GA (Metropolitan Statistical Area)",0
49,15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",0
50,15500,"Burlington, NC (Metropolitan Statistical Area)",0
51,15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",0
52,15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",0
53,15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",0
54,15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",0
55,16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",0
56,16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",0
57,16180,"Carson City, NV (Metropolitan Statistical Area)",0
58,16220,"Casper, WY (Metropolitan Statistical Area)",0
59,16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",0
60,16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",0
61,16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",0
62,16620,"Charleston, WV (Metropolitan Statistical Area)",0
63,16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",0
64,16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",3
65,16820,"Charlottesville, VA (Metropolitan Statistical Area)",0
66,16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",0
67,16940,"Cheyenne, WY (Metropolitan Statistical Area)",0
68,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",1
69,17020,"Chico, CA (Metropolitan Statistical Area)",0
70,17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",3
71,17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",0
